Methods,values,predicate
W2V,3,1
W2V,3,2
W2V,3,3
W2V,3,4
W2V,3,5
W2V,3,6
W2V,3,7
W2V,3,8
W2V,3,9
W2V,2,10
W2V,2,11
W2V,2,12
W2V,2,13
W2V,2,14
W2V,2,15
W2V,2,16
W2V,2,17
W2V,2,18
W2V,2,19
W2V,2,20
W2V,2,21
W2V,2,22
W2V,2,23
W2V,2,24
W2V,2,25
W2V,2,26
W2V,2,27
W2V,2,28
W2V,2,29
W2V,2,30
W2V,2,31
W2V,2,32
W2V,2,33
W2V,2,34
W2V,2,35
W2V,2,36
W2V,2,37
W2V,2,38
W2V,2,39
W2V,2,40
W2V,2,41
W2V,2,42
W2V,2,43
W2V,2,44
W2V,2,45
W2V,2,46
W2V,1,47
W2V,1,48
W2V,1,49
W2V,1,50
W2V,1,51
W2V,1,52
W2V,1,53
W2V,1,54
W2V,1,55
W2V,1,56
W2V,1,57
W2V,1,58
W2V,1,59
W2V,1,60
W2V,1,61
W2V,1,62
W2V,1,63
W2V,1,64
W2V,1,65
W2V,1,66
W2V,1,67
W2V,1,68
W2V,1,69
W2V,1,70
W2V,1,71
W2V,1,72
W2V,1,73
W2V,1,74
W2V,1,75
W2V,1,76
W2V,1,77
W2V,1,78
W2V,1,79
W2V,1,80
RDF2Vec,3,1
RDF2Vec,3,2
RDF2Vec,3,3
RDF2Vec,3,4
RDF2Vec,3,5
RDF2Vec,3,6
RDF2Vec,3,7
RDF2Vec,3,8
RDF2Vec,3,9
RDF2Vec,3,10
RDF2Vec,3,11
RDF2Vec,3,12
RDF2Vec,3,13
RDF2Vec,3,14
RDF2Vec,3,15
RDF2Vec,3,16
RDF2Vec,3,17
RDF2Vec,3,18
RDF2Vec,3,19
RDF2Vec,3,20
RDF2Vec,3,21
RDF2Vec,3,22
RDF2Vec,3,23
RDF2Vec,3,24
RDF2Vec,3,25
RDF2Vec,3,26
RDF2Vec,3,27
RDF2Vec,3,28
RDF2Vec,3,29
RDF2Vec,3,30
RDF2Vec,3,31
RDF2Vec,2,32
RDF2Vec,2,33
RDF2Vec,2,34
RDF2Vec,2,35
RDF2Vec,2,36
RDF2Vec,2,37
RDF2Vec,2,38
RDF2Vec,2,39
RDF2Vec,2,40
RDF2Vec,2,41
RDF2Vec,2,42
RDF2Vec,2,43
RDF2Vec,2,44
RDF2Vec,2,45
RDF2Vec,2,46
RDF2Vec,2,47
RDF2Vec,2,48
RDF2Vec,2,49
RDF2Vec,2,50
RDF2Vec,2,51
RDF2Vec,2,52
RDF2Vec,2,53
RDF2Vec,2,54
RDF2Vec,2,55
RDF2Vec,2,56
RDF2Vec,2,57
RDF2Vec,2,58
RDF2Vec,2,59
RDF2Vec,2,60
RDF2Vec,2,61
RDF2Vec,2,62
RDF2Vec,2,63
RDF2Vec,2,64
RDF2Vec,2,65
RDF2Vec,2,66
RDF2Vec,2,67
RDF2Vec,2,68
RDF2Vec,2,69
RDF2Vec,2,70
RDF2Vec,2,71
RDF2Vec,1,72
RDF2Vec,1,73
RDF2Vec,1,74
RDF2Vec,1,75
RDF2Vec,1,76
RDF2Vec,1,77
RDF2Vec,1,78
RDF2Vec,1,79
RDF2Vec,1,80
RuleBased,3,1
RuleBased,3,2
RuleBased,3,3
RuleBased,3,4
RuleBased,2,5
RuleBased,2,6
RuleBased,2,7
RuleBased,2,8
RuleBased,2,9
RuleBased,2,10
RuleBased,2,11
RuleBased,2,12
RuleBased,2,13
RuleBased,2,14
RuleBased,2,15
RuleBased,2,16
RuleBased,2,17
RuleBased,2,18
RuleBased,2,19
RuleBased,2,20
RuleBased,2,21
RuleBased,2,22
RuleBased,2,23
RuleBased,2,24
RuleBased,2,25
RuleBased,2,26
RuleBased,2,27
RuleBased,2,28
RuleBased,2,29
RuleBased,2,30
RuleBased,2,31
RuleBased,2,32
RuleBased,2,33
RuleBased,2,34
RuleBased,2,35
RuleBased,2,36
RuleBased,2,37
RuleBased,2,38
RuleBased,2,39
RuleBased,2,40
RuleBased,2,41
RuleBased,2,42
RuleBased,2,43
RuleBased,2,44
RuleBased,2,45
RuleBased,2,46
RuleBased,2,47
RuleBased,2,48
RuleBased,2,49
RuleBased,2,50
RuleBased,1,51
RuleBased,1,52
RuleBased,1,53
RuleBased,1,54
RuleBased,1,55
RuleBased,1,56
RuleBased,1,57
RuleBased,1,58
RuleBased,1,59
RuleBased,1,60
RuleBased,1,61
RuleBased,1,62
RuleBased,1,63
RuleBased,1,64
RuleBased,1,65
RuleBased,1,66
RuleBased,1,67
RuleBased,1,68
RuleBased,1,69
RuleBased,1,70
RuleBased,1,71
RuleBased,1,72
RuleBased,1,73
RuleBased,1,74
RuleBased,1,75
RuleBased,1,76
RuleBased,1,77
RuleBased,1,78
RuleBased,1,79
RuleBased,1,80
