Methods,values,predicate
W2V,3,1
W2V,3,2
W2V,3,3
W2V,3,4
W2V,3,5
W2V,3,6
W2V,3,7
W2V,3,8
W2V,3,9
W2V,3,10
W2V,3,11
W2V,3,12
W2V,3,13
W2V,3,14
W2V,3,15
W2V,3,16
W2V,3,17
W2V,3,18
W2V,3,19
W2V,3,20
W2V,3,21
W2V,3,22
W2V,3,23
W2V,3,24
W2V,3,25
W2V,3,26
W2V,3,27
W2V,3,28
W2V,3,29
W2V,3,30
W2V,3,31
W2V,3,32
W2V,3,33
W2V,3,34
W2V,3,35
W2V,3,36
W2V,3,37
W2V,3,38
W2V,3,39
W2V,3,40
W2V,3,41
W2V,3,42
W2V,3,43
W2V,3,44
W2V,3,45
W2V,3,46
W2V,3,47
W2V,3,48
W2V,3,49
W2V,3,50
W2V,3,51
W2V,3,52
W2V,3,53
W2V,3,54
W2V,3,55
W2V,3,56
W2V,3,57
W2V,3,58
W2V,3,59
W2V,3,60
W2V,3,61
W2V,3,62
W2V,3,63
W2V,3,64
W2V,3,65
W2V,3,66
W2V,3,67
W2V,3,68
W2V,3,69
W2V,3,70
W2V,3,71
W2V,3,72
W2V,3,73
W2V,3,74
W2V,3,75
W2V,3,76
W2V,3,77
W2V,3,78
W2V,3,79
W2V,3,80
W2V,3,81
W2V,3,82
W2V,3,83
W2V,3,84
W2V,3,85
W2V,3,86
W2V,3,87
W2V,3,88
W2V,3,89
W2V,3,90
W2V,3,91
W2V,3,92
W2V,3,93
W2V,3,94
W2V,3,95
W2V,3,96
W2V,3,97
W2V,3,98
W2V,3,99
W2V,3,100
W2V,3,101
W2V,3,102
W2V,3,103
W2V,3,104
W2V,3,105
W2V,3,106
W2V,3,107
W2V,3,108
W2V,3,109
W2V,3,110
W2V,3,111
W2V,2,112
W2V,2,113
W2V,2,114
W2V,2,115
W2V,2,116
W2V,2,117
W2V,2,118
W2V,2,119
W2V,2,120
W2V,2,121
W2V,2,122
W2V,2,123
W2V,2,124
W2V,2,125
W2V,2,126
W2V,2,127
W2V,2,128
W2V,2,129
W2V,2,130
W2V,2,131
W2V,2,132
W2V,2,133
W2V,2,134
W2V,2,135
W2V,2,136
W2V,2,137
W2V,2,138
W2V,2,139
W2V,2,140
W2V,2,141
W2V,2,142
W2V,2,143
W2V,2,144
W2V,2,145
W2V,2,146
W2V,2,147
W2V,2,148
W2V,2,149
W2V,2,150
W2V,2,151
W2V,2,152
W2V,2,153
W2V,2,154
W2V,2,155
W2V,2,156
W2V,2,157
W2V,2,158
W2V,2,159
W2V,2,160
W2V,2,161
W2V,2,162
W2V,2,163
W2V,2,164
W2V,2,165
W2V,2,166
W2V,2,167
W2V,2,168
W2V,2,169
W2V,2,170
W2V,2,171
W2V,2,172
W2V,2,173
W2V,2,174
W2V,2,175
W2V,2,176
W2V,2,177
W2V,2,178
W2V,2,179
W2V,2,180
W2V,2,181
W2V,2,182
W2V,2,183
W2V,2,184
W2V,2,185
W2V,2,186
W2V,2,187
W2V,2,188
W2V,2,189
W2V,2,190
W2V,2,191
W2V,2,192
W2V,2,193
W2V,2,194
W2V,2,195
W2V,2,196
W2V,2,197
W2V,2,198
W2V,2,199
W2V,2,200
W2V,2,201
W2V,2,202
W2V,2,203
W2V,2,204
W2V,2,205
W2V,2,206
W2V,2,207
W2V,2,208
W2V,2,209
W2V,2,210
W2V,2,211
W2V,2,212
W2V,2,213
W2V,2,214
W2V,2,215
W2V,2,216
W2V,2,217
W2V,2,218
W2V,2,219
W2V,2,220
W2V,2,221
W2V,2,222
W2V,2,223
W2V,1,224
W2V,1,225
W2V,1,226
W2V,1,227
W2V,1,228
W2V,1,229
W2V,1,230
W2V,1,231
W2V,1,232
W2V,1,233
W2V,1,234
W2V,1,235
W2V,1,236
W2V,1,237
W2V,1,238
W2V,1,239
W2V,1,240
W2V,1,241
W2V,1,242
W2V,1,243
W2V,1,244
W2V,1,245
W2V,1,246
W2V,1,247
W2V,1,248
W2V,1,249
W2V,1,250
W2V,1,251
W2V,1,252
W2V,1,253
W2V,1,254
W2V,1,255
W2V,1,256
W2V,1,257
W2V,1,258
W2V,1,259
W2V,1,260
W2V,1,261
W2V,1,262
W2V,1,263
W2V,1,264
W2V,1,265
W2V,1,266
W2V,1,267
W2V,1,268
W2V,1,269
W2V,1,270
W2V,1,271
W2V,1,272
W2V,1,273
W2V,1,274
W2V,1,275
W2V,1,276
W2V,1,277
W2V,1,278
W2V,1,279
W2V,1,280
W2V,1,281
W2V,1,282
W2V,1,283
W2V,1,284
W2V,1,285
W2V,1,286
W2V,1,287
W2V,1,288
W2V,1,289
W2V,1,290
W2V,1,291
W2V,1,292
W2V,1,293
W2V,1,294
W2V,1,295
W2V,1,296
W2V,1,297
W2V,1,298
W2V,1,299
W2V,1,300
W2V,1,301
W2V,1,302
W2V,1,303
W2V,1,304
W2V,1,305
RDF2Vec,3,1
RDF2Vec,3,2
RDF2Vec,3,3
RDF2Vec,3,4
RDF2Vec,3,5
RDF2Vec,3,6
RDF2Vec,3,7
RDF2Vec,3,8
RDF2Vec,3,9
RDF2Vec,3,10
RDF2Vec,3,11
RDF2Vec,3,12
RDF2Vec,3,13
RDF2Vec,3,14
RDF2Vec,3,15
RDF2Vec,3,16
RDF2Vec,3,17
RDF2Vec,3,18
RDF2Vec,3,19
RDF2Vec,3,20
RDF2Vec,3,21
RDF2Vec,3,22
RDF2Vec,3,23
RDF2Vec,3,24
RDF2Vec,3,25
RDF2Vec,3,26
RDF2Vec,3,27
RDF2Vec,3,28
RDF2Vec,3,29
RDF2Vec,3,30
RDF2Vec,3,31
RDF2Vec,3,32
RDF2Vec,3,33
RDF2Vec,3,34
RDF2Vec,3,35
RDF2Vec,3,36
RDF2Vec,3,37
RDF2Vec,3,38
RDF2Vec,3,39
RDF2Vec,3,40
RDF2Vec,3,41
RDF2Vec,3,42
RDF2Vec,3,43
RDF2Vec,3,44
RDF2Vec,3,45
RDF2Vec,3,46
RDF2Vec,3,47
RDF2Vec,3,48
RDF2Vec,3,49
RDF2Vec,3,50
RDF2Vec,3,51
RDF2Vec,3,52
RDF2Vec,3,53
RDF2Vec,3,54
RDF2Vec,3,55
RDF2Vec,3,56
RDF2Vec,3,57
RDF2Vec,3,58
RDF2Vec,3,59
RDF2Vec,3,60
RDF2Vec,3,61
RDF2Vec,3,62
RDF2Vec,3,63
RDF2Vec,3,64
RDF2Vec,3,65
RDF2Vec,3,66
RDF2Vec,2,67
RDF2Vec,2,68
RDF2Vec,2,69
RDF2Vec,2,70
RDF2Vec,2,71
RDF2Vec,2,72
RDF2Vec,2,73
RDF2Vec,2,74
RDF2Vec,2,75
RDF2Vec,2,76
RDF2Vec,2,77
RDF2Vec,2,78
RDF2Vec,2,79
RDF2Vec,2,80
RDF2Vec,2,81
RDF2Vec,2,82
RDF2Vec,2,83
RDF2Vec,2,84
RDF2Vec,2,85
RDF2Vec,2,86
RDF2Vec,2,87
RDF2Vec,2,88
RDF2Vec,2,89
RDF2Vec,2,90
RDF2Vec,2,91
RDF2Vec,2,92
RDF2Vec,2,93
RDF2Vec,2,94
RDF2Vec,2,95
RDF2Vec,2,96
RDF2Vec,2,97
RDF2Vec,2,98
RDF2Vec,2,99
RDF2Vec,2,100
RDF2Vec,2,101
RDF2Vec,2,102
RDF2Vec,2,103
RDF2Vec,2,104
RDF2Vec,2,105
RDF2Vec,2,106
RDF2Vec,2,107
RDF2Vec,2,108
RDF2Vec,2,109
RDF2Vec,2,110
RDF2Vec,2,111
RDF2Vec,2,112
RDF2Vec,2,113
RDF2Vec,2,114
RDF2Vec,2,115
RDF2Vec,2,116
RDF2Vec,2,117
RDF2Vec,2,118
RDF2Vec,2,119
RDF2Vec,2,120
RDF2Vec,2,121
RDF2Vec,2,122
RDF2Vec,2,123
RDF2Vec,2,124
RDF2Vec,2,125
RDF2Vec,2,126
RDF2Vec,2,127
RDF2Vec,2,128
RDF2Vec,2,129
RDF2Vec,2,130
RDF2Vec,2,131
RDF2Vec,2,132
RDF2Vec,2,133
RDF2Vec,2,134
RDF2Vec,2,135
RDF2Vec,2,136
RDF2Vec,2,137
RDF2Vec,2,138
RDF2Vec,2,139
RDF2Vec,2,140
RDF2Vec,2,141
RDF2Vec,2,142
RDF2Vec,2,143
RDF2Vec,2,144
RDF2Vec,2,145
RDF2Vec,2,146
RDF2Vec,2,147
RDF2Vec,2,148
RDF2Vec,2,149
RDF2Vec,2,150
RDF2Vec,2,151
RDF2Vec,2,152
RDF2Vec,2,153
RDF2Vec,2,154
RDF2Vec,1,155
RDF2Vec,1,156
RDF2Vec,1,157
RDF2Vec,1,158
RDF2Vec,1,159
RDF2Vec,1,160
RDF2Vec,1,161
RDF2Vec,1,162
RDF2Vec,1,163
RDF2Vec,1,164
RDF2Vec,1,165
RDF2Vec,1,166
RDF2Vec,1,167
RDF2Vec,1,168
RDF2Vec,1,169
RDF2Vec,1,170
RDF2Vec,1,171
RDF2Vec,1,172
RDF2Vec,1,173
RDF2Vec,1,174
RDF2Vec,1,175
RDF2Vec,1,176
RDF2Vec,1,177
RDF2Vec,1,178
RDF2Vec,1,179
RDF2Vec,1,180
RDF2Vec,1,181
RDF2Vec,1,182
RDF2Vec,1,183
RDF2Vec,1,184
RDF2Vec,1,185
RDF2Vec,1,186
RDF2Vec,1,187
RDF2Vec,1,188
RDF2Vec,1,189
RDF2Vec,1,190
RDF2Vec,1,191
RDF2Vec,1,192
RDF2Vec,1,193
RDF2Vec,1,194
RDF2Vec,1,195
RDF2Vec,1,196
RDF2Vec,1,197
RDF2Vec,1,198
RDF2Vec,1,199
RDF2Vec,1,200
RDF2Vec,1,201
RDF2Vec,1,202
RDF2Vec,1,203
RDF2Vec,1,204
RDF2Vec,1,205
RDF2Vec,1,206
RDF2Vec,1,207
RDF2Vec,1,208
RDF2Vec,1,209
RDF2Vec,1,210
RDF2Vec,1,211
RDF2Vec,1,212
RDF2Vec,1,213
RDF2Vec,1,214
RDF2Vec,1,215
RDF2Vec,1,216
RDF2Vec,1,217
RDF2Vec,1,218
RDF2Vec,1,219
RDF2Vec,1,220
RDF2Vec,1,221
RDF2Vec,1,222
RDF2Vec,1,223
RDF2Vec,1,224
RDF2Vec,1,225
RDF2Vec,1,226
RDF2Vec,1,227
RDF2Vec,1,228
RDF2Vec,1,229
RDF2Vec,1,230
RDF2Vec,1,231
RDF2Vec,1,232
RDF2Vec,1,233
RDF2Vec,1,234
RDF2Vec,1,235
RDF2Vec,1,236
RDF2Vec,1,237
RDF2Vec,1,238
RDF2Vec,1,239
RDF2Vec,1,240
RDF2Vec,1,241
RDF2Vec,1,242
RDF2Vec,1,243
RDF2Vec,1,244
RDF2Vec,1,245
RDF2Vec,1,246
RDF2Vec,1,247
RDF2Vec,1,248
RDF2Vec,1,249
RDF2Vec,1,250
RDF2Vec,1,251
RDF2Vec,1,252
RDF2Vec,1,253
RDF2Vec,1,254
RDF2Vec,1,255
RDF2Vec,1,256
RDF2Vec,1,257
RDF2Vec,1,258
RDF2Vec,1,259
RDF2Vec,1,260
RDF2Vec,1,261
RDF2Vec,1,262
RDF2Vec,1,263
RDF2Vec,1,264
RDF2Vec,1,265
RDF2Vec,1,266
RDF2Vec,1,267
RDF2Vec,1,268
RDF2Vec,1,269
RDF2Vec,1,270
RDF2Vec,1,271
RDF2Vec,1,272
RDF2Vec,1,273
RDF2Vec,1,274
RDF2Vec,1,275
RDF2Vec,1,276
RDF2Vec,1,277
RDF2Vec,1,278
RDF2Vec,1,279
RDF2Vec,1,280
RDF2Vec,1,281
RDF2Vec,1,282
RDF2Vec,1,283
RDF2Vec,1,284
RDF2Vec,1,285
RDF2Vec,1,286
RDF2Vec,1,287
RDF2Vec,1,288
RDF2Vec,1,289
RDF2Vec,1,290
RDF2Vec,1,291
RDF2Vec,1,292
RDF2Vec,1,293
RDF2Vec,1,294
RDF2Vec,1,295
RDF2Vec,1,296
RDF2Vec,1,297
RDF2Vec,1,298
RDF2Vec,1,299
RDF2Vec,1,300
RDF2Vec,1,301
RDF2Vec,1,302
RDF2Vec,1,303
RDF2Vec,1,304
RDF2Vec,1,305
RuleBased,3,1
RuleBased,3,2
RuleBased,3,3
RuleBased,3,4
RuleBased,3,5
RuleBased,3,6
RuleBased,3,7
RuleBased,3,8
RuleBased,3,9
RuleBased,3,10
RuleBased,3,11
RuleBased,3,12
RuleBased,3,13
RuleBased,3,14
RuleBased,3,15
RuleBased,3,16
RuleBased,3,17
RuleBased,3,18
RuleBased,3,19
RuleBased,3,20
RuleBased,3,21
RuleBased,3,22
RuleBased,3,23
RuleBased,3,24
RuleBased,3,25
RuleBased,3,26
RuleBased,3,27
RuleBased,3,28
RuleBased,3,29
RuleBased,3,30
RuleBased,3,31
RuleBased,3,32
RuleBased,3,33
RuleBased,3,34
RuleBased,3,35
RuleBased,3,36
RuleBased,3,37
RuleBased,3,38
RuleBased,3,39
RuleBased,3,40
RuleBased,3,41
RuleBased,3,42
RuleBased,3,43
RuleBased,3,44
RuleBased,3,45
RuleBased,3,46
RuleBased,3,47
RuleBased,3,48
RuleBased,3,49
RuleBased,3,50
RuleBased,3,51
RuleBased,3,52
RuleBased,3,53
RuleBased,3,54
RuleBased,3,55
RuleBased,3,56
RuleBased,3,57
RuleBased,3,58
RuleBased,3,59
RuleBased,3,60
RuleBased,3,61
RuleBased,3,62
RuleBased,3,63
RuleBased,3,64
RuleBased,3,65
RuleBased,3,66
RuleBased,3,67
RuleBased,3,68
RuleBased,3,69
RuleBased,3,70
RuleBased,3,71
RuleBased,3,72
RuleBased,3,73
RuleBased,3,74
RuleBased,3,75
RuleBased,3,76
RuleBased,3,77
RuleBased,3,78
RuleBased,3,79
RuleBased,3,80
RuleBased,3,81
RuleBased,3,82
RuleBased,3,83
RuleBased,3,84
RuleBased,3,85
RuleBased,3,86
RuleBased,3,87
RuleBased,3,88
RuleBased,3,89
RuleBased,3,90
RuleBased,3,91
RuleBased,3,92
RuleBased,3,93
RuleBased,3,94
RuleBased,3,95
RuleBased,3,96
RuleBased,3,97
RuleBased,3,98
RuleBased,3,99
RuleBased,3,100
RuleBased,3,101
RuleBased,3,102
RuleBased,3,103
RuleBased,3,104
RuleBased,3,105
RuleBased,3,106
RuleBased,3,107
RuleBased,3,108
RuleBased,3,109
RuleBased,3,110
RuleBased,3,111
RuleBased,3,112
RuleBased,3,113
RuleBased,3,114
RuleBased,3,115
RuleBased,3,116
RuleBased,3,117
RuleBased,3,118
RuleBased,3,119
RuleBased,3,120
RuleBased,3,121
RuleBased,3,122
RuleBased,3,123
RuleBased,3,124
RuleBased,3,125
RuleBased,3,126
RuleBased,3,127
RuleBased,3,128
RuleBased,3,129
RuleBased,3,130
RuleBased,3,131
RuleBased,3,132
RuleBased,3,133
RuleBased,3,134
RuleBased,3,135
RuleBased,3,136
RuleBased,2,137
RuleBased,2,138
RuleBased,2,139
RuleBased,2,140
RuleBased,2,141
RuleBased,2,142
RuleBased,2,143
RuleBased,2,144
RuleBased,2,145
RuleBased,2,146
RuleBased,2,147
RuleBased,2,148
RuleBased,2,149
RuleBased,2,150
RuleBased,2,151
RuleBased,2,152
RuleBased,2,153
RuleBased,2,154
RuleBased,2,155
RuleBased,2,156
RuleBased,2,157
RuleBased,2,158
RuleBased,2,159
RuleBased,2,160
RuleBased,2,161
RuleBased,2,162
RuleBased,2,163
RuleBased,2,164
RuleBased,2,165
RuleBased,2,166
RuleBased,2,167
RuleBased,2,168
RuleBased,2,169
RuleBased,2,170
RuleBased,2,171
RuleBased,2,172
RuleBased,2,173
RuleBased,2,174
RuleBased,2,175
RuleBased,2,176
RuleBased,2,177
RuleBased,2,178
RuleBased,2,179
RuleBased,2,180
RuleBased,2,181
RuleBased,2,182
RuleBased,2,183
RuleBased,2,184
RuleBased,2,185
RuleBased,2,186
RuleBased,2,187
RuleBased,2,188
RuleBased,2,189
RuleBased,2,190
RuleBased,2,191
RuleBased,2,192
RuleBased,2,193
RuleBased,2,194
RuleBased,2,195
RuleBased,2,196
RuleBased,2,197
RuleBased,2,198
RuleBased,2,199
RuleBased,2,200
RuleBased,2,201
RuleBased,2,202
RuleBased,2,203
RuleBased,2,204
RuleBased,2,205
RuleBased,2,206
RuleBased,2,207
RuleBased,2,208
RuleBased,2,209
RuleBased,2,210
RuleBased,2,211
RuleBased,2,212
RuleBased,2,213
RuleBased,2,214
RuleBased,2,215
RuleBased,2,216
RuleBased,2,217
RuleBased,2,218
RuleBased,2,219
RuleBased,2,220
RuleBased,2,221
RuleBased,2,222
RuleBased,2,223
RuleBased,2,224
RuleBased,2,225
RuleBased,2,226
RuleBased,2,227
RuleBased,2,228
RuleBased,2,229
RuleBased,2,230
RuleBased,2,231
RuleBased,2,232
RuleBased,2,233
RuleBased,2,234
RuleBased,2,235
RuleBased,2,236
RuleBased,2,237
RuleBased,2,238
RuleBased,2,239
RuleBased,2,240
RuleBased,2,241
RuleBased,2,242
RuleBased,2,243
RuleBased,2,244
RuleBased,2,245
RuleBased,2,246
RuleBased,2,247
RuleBased,2,248
RuleBased,2,249
RuleBased,2,250
RuleBased,2,251
RuleBased,2,252
RuleBased,2,253
RuleBased,2,254
RuleBased,2,255
RuleBased,2,256
RuleBased,2,257
RuleBased,2,258
RuleBased,2,259
RuleBased,2,260
RuleBased,2,261
RuleBased,2,262
RuleBased,2,263
RuleBased,2,264
RuleBased,2,265
RuleBased,2,266
RuleBased,2,267
RuleBased,2,268
RuleBased,2,269
RuleBased,2,270
RuleBased,2,271
RuleBased,2,272
RuleBased,2,273
RuleBased,2,274
RuleBased,2,275
RuleBased,2,276
RuleBased,2,277
RuleBased,2,278
RuleBased,2,279
RuleBased,2,280
RuleBased,2,281
RuleBased,2,282
RuleBased,2,283
RuleBased,2,284
RuleBased,2,285
RuleBased,2,286
RuleBased,2,287
RuleBased,2,288
RuleBased,2,289
RuleBased,2,290
RuleBased,2,291
RuleBased,2,292
RuleBased,2,293
RuleBased,2,294
RuleBased,1,295
RuleBased,1,296
RuleBased,1,297
RuleBased,1,298
RuleBased,1,299
RuleBased,1,300
RuleBased,1,301
RuleBased,1,302
RuleBased,1,303
RuleBased,1,304
RuleBased,1,305
